ΗΜΕΡΑ,ΕΝΑΡΞΗ,ΛΗΞΗ,ΜΑΘΗΜΑ,ΑΙΘΟΥΣΑ,ΔΙΔΑΣΚΩΝ
Δευτέρα,16:00,18:00,Δ.Α.Π.Σ.,Αίθουσα 2,Α. Τσώχου
Δευτέρα,18:00,20:00,Ηλεκτρονική Διακυβέρνηση,Αίθουσα 2,Π. Κουροθανάσης
Τρίτη,9:00,11:00,Ηλεκτρονική Διακυβέρνηση,Αίθουσα 2,Π. Κουροθανάσης
Τρίτη,11:00,13:00,Δ.Α.Π.Σ.,Αίθουσα 2,Α. Τσώχου
Τρίτη,13:00,15:00,Παράλληλος Προγραμματισμός,Εργ. Αρεταίος,Μ. Στεφανιδάκης
Τρίτη,15:00,17:00,Α.Δ.Κ.Ε.Γ.,Εργ. Γαληνός,Κ. Κερμανίδου
Τρίτη,17:00,19:00,Επεξεργασία Ο&Η,Αίθουσα 1,Ι. Καρύδης
Τετάρτη,11:00,13:00,Σ.Κ.Δ.Π.Σ,Αίθουσα 2,Α. Πατέλη
Τετάρτη,13:00,15:00,Κοινωνικός και Σημασιολογικός Ιστός,Αίθουσα 2,Φ. Μυλωνάς
Τετάρτη,15:00,17:00,Παράλληλος Προγραμματισμός,Εργ. Αρεταίος,Μ. Στεφανιδάκης
Τετάρτη,17:00,19:00,Επεξεργασία Ο&Η,Εργ. Γαληνός,Ι. Καρύδης
Πέμπτη,11:00,13:00,Α.Δ.Κ.Ε.Γ.,Αίθουσα 1,Θ. Έξαρχος
Πέμπτη,13:00,15:00,Κοινωνικός και Σημασιολογικός Ιστός,"Εργ, Αρεταίος",Μ. Στεφανιδάκης
Πέμπτη,15:00,17:00,Σ.Κ.Δ.Π.Σ,Αίθουσα 1,Α. Πατέλη
Πέμπτη,17:00,19:00,Α.Δ.Κ.Ε.Γ.,Εργ. Αρεταίος,Ι. Καρύδης
Πέμπτη,19:00,21:00,Ε.Π.Κ.Ε.,Αίθουσα 2,Κ. Χωριανόπουλος
Παρασκευή,19:00,21:00,Ε.Π.Κ.Ε.,Αίθουσα 2,Κ. Χωριανόπουλος